Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
740,Tsiribihina,Indian,Africa,47871,0.013,2337861,11428,4,1,3
818,Filyos,Black Sea,Eurasia,13354,0.039,797500,11384,4,1,3
632,Wadi Ghoweibba,Red Sea,Africa,2922,0.122,254902,11333,4,1,2
940,Loire,Atlantic,Europe,116922,0.004,7950257,11087,4,1,2
395,Abra,South China Sea,Oceania,4955,0.062,491090,11085,4,1,2
1063,Trent,North Sea,Europe,11751,0.004,7090326,11072,4,1,2
92,Coyolate,Pacific,North America,1496,0.105,283095,10835,4,1,2
651,Little Scarcies,Atlantic,Africa,18551,0.032,913927,10795,4,1,2
825,Chorokhi,Black Sea,Eurasia,22022,0.038,769387,10764,4,1,2
643,Geba,Atlantic,Africa,12312,0.06,490209,10724,4,1,2
88,Suchiate,Pacific,North America,1409,0.086,340130,10722,4,1,2
314,Tone,Pacific,Asia,15917,0.003,8611489,10696,4,1,2
1270,Mobile,Gulf of Mexico,North America,112478,0.007,4360382,10635,4,1,2
1225,Hudson,Atlantic,North America,34850,0.007,4349396,10608,4,1,2
484,Rajang,South China Sea,Asia,45210,0.112,259003,10595,4,1,2
50,Papaloapán,Gulf of Mexico,North America,39534,0.012,2364566,10581,4,1,2
1363,Chira,Pacific,South America,17683,0.041,684009,10281,4,1,2
324,Yodo,Pacific,Asia,7706,0.003,8235462,10229,4,1,2
1385,Chillon,Pacific,South America,2188,0.039,721427,10191,4,1,2
1372,Capiberibe,Atlantic,South America,7497,0.017,1613651,10184,4,1,2
435,Ilog,Sulu Sea,Oceania,2101,0.062,449434,10145,4,1,2
524,Ramu,Pacific,Oceania,17745,0.09,310203,10143,4,1,2
814,Bakir,Mediterranean,Eurasia,3376,0.039,709272,10124,4,1,2
425,Panay,Sulu Sea,Oceania,2096,0.062,441126,9958,3,1,2
416,Petch,Gulf of Thailand,Asia,4606,0.108,252353,9949,3,1,2
1019,Severnaya Dvina,Arctic,Asia,347484,0.02,1331289,9943,3,1,2
1333,Mira,Pacific,South America,10469,0.044,616777,9890,3,1,2
1230,Susquehanna,Chesapeake Bay,North America,71076,0.007,4049767,9877,3,1,2
653,Wadi Nugaal,Indian,Africa,64429,0.047,577949,9827,3,1,2
775,Umkomazi,Indian,Africa,4434,0.133,201383,9811,3,1,2
554,Fly,Gulf of Papua,Oceania,63435,0.089,301434,9791,3,1,2
440,Vaigai,Bay of Bengal,Asia,6687,0.009,3003840,9610,3,1,2
1254,Santa Ana,Pacific,North America,6411,0.007,3866664,9431,3,1,2
947,Ems,North Sea,Europe,12146,0.01,2642843,9342,3,1,2
336,Porali,Arabian Sea,Asia,13294,0.09,278215,9168,3,1,2
1114,Wadi Hassan,Arabian Sea,Eurasia,3250,0.077,326291,9126,3,1,2
1278,Apalachicola,Gulf of Mexico,North America,50712,0.007,3717707,9067,3,1,2
675,Ankobra,Gulf of Guinea,Africa,8443,0.032,762584,9036,3,1,2
376,Bhadar,Arabian Sea,Asia,10445,0.009,2814358,9004,3,1,2
434,Periyar,Arabian Sea,Asia,6351,0.009,2812308,8997,3,1,2
790,Diep,Atlantic,Africa,1488,0.134,182378,8907,3,1,2
1261,Santee,Atlantic,North America,39725,0.007,3626686,8845,3,1,2
780,Umtamvuna,Indian,Africa,1604,0.134,180457,8814,3,1,2
34,Cauto,Caribbean,North America,9030,0.022,1091381,8727,3,1,2
543,Cudjung,Indian,Oceania,1383,0.047,506150,8697,3,1,2
454,Tagum,Pacific,Oceania,2432,0.062,382130,8626,3,1,2
502,Mamberamo,Pacific,Oceania,78668,0.047,497984,8600,3,1,2
482,Endau,South China Sea,Asia,4448,0.112,209023,8555,3,1,2
426,Vellar,Bay of Bengal,Asia,7426,0.009,2664525,8524,3,1,2
468,Trengganu,South China Sea,Asia,4537,0.112,208113,8517,3,1,2
788,Great Fish,Indian,Africa,30243,0.134,172319,8416,3,1,2
794,Gourtis,Indian,Africa,45062,0.134,172287,8415,3,1,2
447,Vaippar,Bay of Bengal,Asia,5602,0.009,2625134,8398,3,1,2
1344,Capim,Atlantic,South America,49406,0.017,1325813,8367,3,1,2
1274,St. John's,Atlantic,North America,24642,0.007,3410311,8318,2,1,2
616,Agrioun,Mediterranean,Africa,935,0.086,264480,8316,2,1,2
1395,Contas,Atlantic,South America,55190,0.017,1288869,8134,2,1,2
1435,Salado,Atlantic,South America,86126,0.026,845422,8109,2,1,2
1390,Paraguaçu,Atlantic,South America,54548,0.017,1280046,8078,2,1,2
1319,Corantijn,Atlantic,South America,64000,0.217,101247,8011,2,1,2
544,Kikori,Pacific,Oceania,16503,0.09,244719,8002,2,1,2
439,Achenkovil,Arabian Sea,Asia,3939,0.009,2496669,7987,2,1,2
1377,Santa,Pacific,South America,11929,0.039,563682,7963,2,1,2
540,Markham,Pacific,Oceania,12658,0.09,241926,7910,2,1,2
1130,Wadi al Hamd,Red Sea,Eurasia,104249,0.016,1378400,7883,2,1,1
382,Kaladan,Bay of Bengal,Asia,21391,0.035,618570,7838,2,1,1
1365,Piranhas,Atlantic,South America,41027,0.017,1233225,7783,2,1,1
944,Scheldt,North Sea,Europe,19069,0.002,9182016,7768,2,1,1
919,Guadalquivir,Atlantic,Europe,56226,0.006,3839894,7732,2,1,1
751,Mangoky,Indian,Africa,54794,0.013,1577344,7710,2,1,1
1369,Paraiba,Atlantic,South America,19670,0.017,1216664,7678,2,1,1
394,Nagavali,Bay of Bengal,Asia,9181,0.009,2384912,7630,2,1,1
490,Johore,Singapore Strait,Asia,1835,0.112,185752,7602,2,1,1
492,Sambas,Karimata Strait,Oceania,7365,0.048,428846,7514,2,1,1
1419,Itajai-Ácu,Atlantic,South America,15023,0.017,1176859,7427,2,1,1
420,Great Tenasserim,Andaman Sea,Asia,17671,0.067,300342,7344,2,1,1
428,Chaliyar,Arabian Sea,Asia,2971,0.009,2269990,7262,2,1,1
109,Reventazon,Caribbean,North America,2843,0.047,424182,7201,2,1,1
483,Panai,Mallaca Strait,Oceania,3993,0.047,418095,7184,2,1,1
1433,Santa Lucia,Atlantic,South America,13457,0.024,802654,7112,2,1,1
462,Buayan,Celebes Sea,Oceania,1160,0.062,313851,7085,2,1,1
1292,Tocuyo,Caribbean,South America,17650,0.017,1111996,7070,2,1,1
1113,Wadi Ahwar,Arabian Sea,Eurasia,7171,0.077,252687,7067,2,1,1
103,Estero Real,Pacific,North America,3684,0.066,290016,7030,2,1,1
1308,Atrato,Caribbean,South America,35843,0.034,567081,6970,2,1,1
741,Pungue,Indian,Africa,30926,0.02,930090,6899,2,1,1
1232,Potomac,Chesapeake Bay,North America,30343,0.007,2817291,6871,2,1,1
924,Douro,Atlantic,Europe,97038,0.005,3424660,6766,2,1,1
